best_makespan, current_makespan, current_temp, equal_count, first_op_moved, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, violates_constraint, worst_makespan, 
, , , , , , 100, , , 10.0, 4.5, , , 100, 20, 20.0, , , , , , 0.9, , , 
10197, 10197, 10.0, 0, False, 0, 100, False, 30, 10.0, 4.5, left, 57, 100, 20, 20.0, 52.0, 7, 27, True, 70, 0.9, True, 10197, 
10197, 10197, 10.0, 1, False, 1, 100, False, 3, 10.0, 4.5, right, 35, 100, 20, 20.0, 84.0, 16, 31, True, 28, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 2, 100, False, 4, 10.0, 4.5, left, 7, 100, 20, 20.0, 46.0, 6, 3, True, 13, 0.9, False, 10197, 
10197, 10197, 10.0, 0, False, 3, 100, False, 33, 10.0, 4.5, left, 48, 100, 20, 20.0, 27.0, 5, 15, True, 58, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 4, 100, False, 1, 10.0, 4.5, right, 4, 100, 20, 20.0, 85.0, 13, 3, True, 45, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 5, 100, False, 7, 10.0, 4.5, left, 25, 100, 20, 20.0, 76.0, 1, 18, True, 91, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 6, 100, False, 0, 10.0, 4.5, right, 2, 100, 20, 20.0, 97.0, 11, 2, True, 96, 0.9, False, 10197, 
10197, 10197, 10.0, 0, False, 7, 100, False, 37, 10.0, 4.5, left, 42, 100, 20, 20.0, 18.0, 4, 5, True, 50, 0.9, True, 10197, 
10197, 10197, 10.0, 1, False, 8, 100, False, 23, 10.0, 4.5, left, 69, 100, 20, 20.0, 57.0, 4, 45, True, 98, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 9, 100, False, 13, 10.0, 4.5, left, 27, 100, 20, 20.0, 46.0, 4, 14, True, 90, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 10, 100, False, 3, 10.0, 4.5, right, 48, 100, 20, 20.0, 97.0, 14, 45, True, 50, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 11, 100, False, 34, 10.0, 4.5, left, 53, 100, 20, 20.0, 33.0, 12, 19, True, 90, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 12, 100, False, 2, 10.0, 4.5, left, 8, 100, 20, 20.0, 49.0, 7, 6, True, 78, 0.9, True, 10197, 
10197, 10197, 10.0, 0, False, 13, 100, False, 1, 10.0, 4.5, left, 5, 100, 20, 20.0, 50.0, 18, 4, True, 10, 0.9, False, 10197, 
10197, 10197, 10.0, 0, False, 14, 100, False, 0, 10.0, 4.5, right, 1, 100, 20, 20.0, 81.0, 2, 1, True, 90, 0.9, False, 10197, 
10197, 10197, 10.0, 0, False, 15, 100, False, 42, 10.0, 4.5, right, 76, 100, 20, 20.0, 44.0, 9, 34, True, 7, 0.9, True, 10197, 
10172, 10172, 10.0, 0, False, 16, 100, False, 9, 10.0, 4.5, left, 17, 100, 20, 20.0, 61.0, 16, 8, True, 47, 0.9, False, 10197, 
10172, 10172, 10.0, 0, False, 17, 100, False, 11, 10.0, 4.5, right, 25, 100, 20, 20.0, 61.0, 17, 14, True, 26, 0.9, True, 10197, 
10172, 10172, 10.0, 1, False, 18, 100, False, 32, 10.0, 4.5, left, 56, 100, 20, 20.0, 46.0, 7, 23, True, 65, 0.9, True, 10197, 
10172, 10172, 10.0, 0, False, 19, 100, False, 15, 10.0, 4.5, left, 24, 100, 20, 20.0, 52.0, 2, 9, True, 95, 0.9, True, 10197, 
10172, 10172, 10.0, 0, False, 20, 100, False, 1, 10.0, 4.5, left, 2, 100, 20, 20.0, 49.0, 8, 1, True, 37, 0.9, False, 10197, 
10172, 10172, 10.0, 0, False, 21, 100, False, 0, 10.0, 4.5, right, 3, 100, 20, 20.0, 64.0, 14, 3, True, 85, 0.9, False, 10197, 
10172, 10172, 10.0, 1, False, 22, 100, False, 29, 10.0, 4.5, left, 56, 100, 20, 20.0, 55.0, 8, 26, True, 79, 0.9, True, 10197, 
10172, 10416, 10.0, 0, False, 23, 100, False, 0, 10.0, 4.5, right, 1, 100, 20, 20.0, 28.0, 8, 1, False, 98, 0.9, False, 10416, 
10172, 10172, 10.0, 1, False, 24, 100, False, 9, 10.0, 4.5, right, 27, 100, 20, 20.0, 81.0, 2, 17, True, 62, 0.9, True, 10416, 
10172, 10172, 10.0, 1, False, 25, 100, False, 16, 10.0, 4.5, left, 38, 100, 20, 20.0, 51.0, 3, 21, True, 46, 0.9, True, 10416, 
10172, 10172, 10.0, 0, False, 26, 100, False, 0, 10.0, 4.5, left, 6, 100, 20, 20.0, 95.0, 2, 6, True, 9, 0.9, False, 10416, 
