best_makespan, current_makespan, current_temp, equal_count, first_op_moved, heuristic, iter_number_in_temp, iter_per_temp, last_op_moved, longer_count, max_temperature, min_temperature, move_direction, moves, num_jobs, num_machines, num_operations, operation_duration, prob_acceptance, selected_machine, shorter_count, should_accept, switch_operation_1, temp_change_ratio, times_moved, violates_constraint, worst_makespan, 
, , , , , , , 100, , , 10.0, 4.5, , , 50, 15, 15.0, , , , , , , 0.9, , , , 
6207, 6207, 10.0, 0, False, P_AND_S, 0, 100, False, 1, 10.0, 4.5, right, , 50, 15, 15.0, 45.0, , 8, 0, True, 10, 0.9, , False, 6207, 
6207, 6363, 10.0, 0, True, P_AND_S, 1, 100, False, 1, 10.0, 4.5, right, , 50, 15, 15.0, 51.0, 1.6788275299956632e-07, 14, 0, False, 0, 0.9, , False, 6363, 
6207, 6368, 10.0, 0, False, P_AND_S, 2, 100, False, 1, 10.0, 4.5, right, , 50, 15, 15.0, 79.0, 1.0182603693119986e-07, 11, 0, False, 9, 0.9, , False, 6368, 
6139, 6139, 10.0, 0, False, P_AND_S, 3, 100, False, 1, 10.0, 4.5, right, , 50, 15, 15.0, 13.0, , 8, 0, True, 14, 0.9, , False, 6368, 
6139, 6139, 10.0, 0, False, P_AND_S, 4, 100, False, 0, 10.0, 4.5, right, , 50, 15, 15.0, 42.0, , 8, 1, True, 6, 0.9, , False, 6368, 
6139, 6289, 10.0, 0, False, P_AND_S, 5, 100, False, 0, 10.0, 4.5, right, , 50, 15, 15.0, 77.0, 3.059023205018258e-07, 13, 1, False, 37, 0.9, , False, 6368, 
5954, 5954, 10.0, 0, False, P_AND_S, 6, 100, False, 1, 10.0, 4.5, right, , 50, 15, 15.0, 8.0, , 4, 0, True, 44, 0.9, , False, 6368, 
5954, 5954, 10.0, 0, False, P_AND_S, 7, 100, False, 1, 10.0, 4.5, left, , 50, 15, 15.0, 36.0, , 4, 0, True, 22, 0.9, , False, 6368, 
5954, 5954, 10.0, 0, False, P_AND_S, 8, 100, False, 0, 10.0, 4.5, left, , 50, 15, 15.0, 45.0, , 4, 1, True, 40, 0.9, , False, 6368, 
5954, 5954, 10.0, 0, False, P_AND_S, 9, 100, False, 0, 10.0, 4.5, right, , 50, 15, 15.0, 78.0, , 4, 1, True, 12, 0.9, , False, 6368, 
5954, 5954, 10.0, 0, False, P_AND_S, 10, 100, False, 1, 10.0, 4.5, left, , 50, 15, 15.0, 9.0, , 10, 0, True, 9, 0.9, , False, 6368, 
5936, 5936, 10.0, 0, False, P_AND_S, 11, 100, False, 0, 10.0, 4.5, left, , 50, 15, 15.0, 51.0, , 5, 1, True, 22, 0.9, , False, 6368, 
